,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
0,4bdrm Duplex in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,280000000.0,premium,1800.0,4.0,2.0,Unfurnished
1,"Furnished 4bdrm Duplex in Idado, Lekki Phase1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,250000000.0,enterprise,500.0,4.0,4.0,Furnished
2,"3bdrm Bungalow in Abijo Oluwa, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,10000000.0,vip_gold,350.0,3.0,3.0,Semi-Furnished
3,"Furnished 3bdrm Block of Flats in Abijo, Labora, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,56000000.0,vip_gold,650.0,3.0,3.0,Furnished
4,"Furnished 4bdrm Duplex in Ikota Gra, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,140000000.0,vip_gold,180.0,4.0,4.0,Furnished
5,"3bdrm Bungalow in Abijo Gra Ext, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,65000000.0,vip_gold,650.0,3.0,3.0,Unfurnished
6,2bdrm Bungalow in Ita Oluwo for sale,"Ikorodu, Ita Oluwo",Ita Oluwo,Ikorodu,17000000.0,False,3345.0,2.0,3.0,Unfurnished
7,"Furnished 3bdrm Block of Flats in Abijo Gra, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,48000000.0,vip_gold,330.0,3.0,3.0,Furnished
8,"Furnished 2bdrm Block of Flats in Beside Mayfair, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,95000000.0,vip_gold,650.0,2.0,2.0,Furnished
9,"Furnished 4bdrm Duplex in Victory Villa Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,180000000.0,vip_gold,650.0,4.0,4.0,Furnished
10,"3bdrm Duplex in Abijo, Off Flourish, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,120000000.0,vip_gold,650.0,3.0,3.0,Unfurnished
11,"4bdrm Block of Flats in Abijo Victory Villa, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,18000000.0,vip_gold,334.0,4.0,4.0,Unfurnished
12,"4bdrm Duplex in Abijo, Amity Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,76000000.0,vip_gold,400.0,4.0,4.0,Unfurnished
13,"Furnished 3bdrm Block of Flats in Abijo, Tulipa Court, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,52000000.0,vip_gold,500.0,3.0,3.0,Furnished
14,"3bdrm Duplex in Abijo, Geenpark, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,58000000.0,vip_gold,230.0,3.0,3.0,Unfurnished
15,2bdrm Apartment in Abule Egba for sale,"Lagos State, Abule Egba",Abule Egba,Lagos State,70000000.0,False,100.0,2.0,2.0,Unfurnished
16,3bdrm Maisonette in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,410000000.0,enterprise,300.0,3.0,3.0,Unfurnished
17,5bdrm Bungalow in Abeokuta South for sale,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,30000000.0,False,590.0,5.0,5.0,Unfurnished
18,"3bdrm Bungalow in Pentville Estate, Lokogoma for sale","Abuja (Fct), Lokogoma",Lokogoma,Abuja (Fct),99999999.0,False,1500.0,3.0,3.0,Semi-Furnished
19,2bdrm Apartment in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,55000000.0,enterprise,800.0,2.0,2.0,Unfurnished
20,Furnished 2bdrm Apartment in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,140000000.0,enterprise,1500.0,2.0,2.0,Furnished
21,"4bdrm Duplex in Lekki County Homes, Ikota for sale","Lekki, Ikota",Ikota,Lekki,100000000.0,enterprise,800.0,4.0,4.0,Unfurnished
22,"5bdrm Duplex in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,320000000.0,enterprise,600.0,5.0,5.0,Unfurnished
23,"4bdrm Duplex in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,195000000.0,enterprise,500.0,4.0,4.0,Unfurnished
24,"4bdrm Duplex in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,160000000.0,enterprise,1500.0,4.0,4.0,Unfurnished
25,"2bdrm Apartment in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,95000000.0,enterprise,1000.0,2.0,2.0,Unfurnished
26,3bdrm Duplex in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,195000000.0,enterprise,900.0,3.0,3.0,Unfurnished
27,20bdrm Block of Flats in Agege for sale,"Lagos State, Agege",Agege,Lagos State,60000000.0,False,1500.0,20.0,20.0,Unfurnished
28,5bdrm Duplex in Lekki Palm City for sale,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,270000000.0,enterprise,300.0,5.0,6.0,Semi-Furnished
29,"4bdrm Duplex in Orchid, Ikota for sale","Lekki, Ikota",Ikota,Lekki,110000000.0,enterprise,1730.0,4.0,4.0,Unfurnished
30,"4bdrm Duplex in Atlantic Estate, Abraham Adesanya for sale","Surulere, Abraham Adesanya",Abraham Adesanya,Surulere,120000000.0,enterprise,300.0,4.0,4.0,Unfurnished
31,"3bdrm Apartment in Cromwell Court, Chevron for sale","Lekki, Chevron",Chevron,Lekki,145000000.0,enterprise,400.0,3.0,3.0,Unfurnished
32,2bdrm Apartment in Spg Road Ikate for sale,"Lekki, Ikate",Ikate,Lekki,200000000.0,enterprise,300.0,2.0,2.0,Unfurnished
33,Furnished 11bdrm Chalet in Oshimili South for sale,"Delta State, Oshimili South",Oshimili South,Delta State,220000000.0,basic,2008.0,11.0,12.0,Furnished
34,12bdrm Block of Flats in Behind Fidelity/Nasu for sale,"Oyo State, Ibadan",Ibadan,Oyo State,150000000.0,diamond,750.0,12.0,13.0,Unfurnished
35,"4bdrm Mansion in 3Rd Extension Gra, Ado Ekiti for sale","Ekiti State, Ado Ekiti",Ado Ekiti,Ekiti State,45000000.0,False,1000.0,4.0,5.0,Semi-Furnished
36,"4bdrm Duplex in Dpk Estate Orchid, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,370000000.0,False,500.0,4.0,4.0,Semi-Furnished
37,"Furnished 5bdrm Duplex in Almond Garden Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,290000000.0,enterprise,500.0,5.0,6.0,Furnished
38,"Furnished 4bdrm Duplex in Almond Garden, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,220000000.0,enterprise,550.0,4.0,5.0,Furnished
39,"Furnished 5bdrm Duplex in Jedediah Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,180000000.0,enterprise,500.0,5.0,6.0,Furnished
40,"Furnished 4bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,390000000.0,enterprise,500.0,4.0,5.0,Furnished
41,"Furnished 3bdrm Bungalow in Citi Ville, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,110000000.0,enterprise,500.0,3.0,3.0,Furnished
42,"Furnished 6bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,350000000.0,enterprise,500.0,6.0,7.0,Furnished
43,"Furnished 5bdrm Duplex in New Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,310000000.0,enterprise,600.0,5.0,6.0,Furnished
44,"Furnished 5bdrm Duplex in Transekulu, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,320000000.0,enterprise,600.0,5.0,6.0,Furnished
45,"Furnished 4bdrm Duplex in Crystal Garden Court, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,800.0,4.0,5.0,Furnished
46,"Furnished 5bdrm Duplex in Spotters, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,800.0,5.0,6.0,Furnished
47,"Furnished 4bdrm Duplex in City Ville, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,165000000.0,enterprise,500.0,4.0,5.0,Furnished
48,"Furnished 5bdrm Duplex in Ap, Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,220000000.0,enterprise,600.0,5.0,6.0,Furnished
49,"Furnished 4bdrm Duplex in Conraw Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,120000000.0,enterprise,600.0,4.0,5.0,Furnished
50,"Furnished 4bdrm Duplex in Helui Gated Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,210000000.0,enterprise,600.0,4.0,5.0,Furnished
51,"Furnished 3bdrm Duplex in Emene, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,115000000.0,enterprise,500.0,3.0,4.0,Furnished
52,"Furnished 2bdrm Bungalow in Conraw Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,33000000.0,enterprise,500.0,2.0,3.0,Furnished
